Metric,Value
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.519485
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,0.107065
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,120.22
design__instance__displacement__mean,0.004
design__instance__displacement__max,5.94
route__wirelength__estimated,510081
design__violations,0
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,12
design__instance__count__class:clock_buffer,340
design__instance__area__class:clock_buffer,2432.33
design__instance__count__setup_buffer,20
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,147
global_route__wirelength,844849
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,141
design__instance__count__class:antenna_cell,206
design__instance__area__class:antenna_cell,515.494
route__net,22583
route__net__special,2
route__drc_errors__iter:0,389
route__wirelength__iter:0,560440
route__drc_errors__iter:1,183
route__wirelength__iter:1,560333
route__drc_errors__iter:2,167
route__wirelength__iter:2,560322
route__drc_errors__iter:3,1
route__wirelength__iter:3,560339
route__drc_errors__iter:4,0
route__wirelength__iter:4,560333
route__drc_errors,0
route__wirelength,560333
route__vias,145621
route__vias__singlecut,145621
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:GRT-0243,1
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,969.14
timing__unannotated_net__count__corner:nom_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,61
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4379274844488281
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.41001259103967835
timing__hold__ws__corner:min_tt_025C_1v80,0.2459199580246867
timing__setup__ws__corner:min_tt_025C_1v80,2.110463419316038
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.24592
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,2.516147
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.6940527238267967
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.6335659953776973
timing__hold__ws__corner:min_ss_100C_1v60,0.19466662166562546
timing__setup__ws__corner:min_ss_100C_1v60,0.2571125607416912
timing__hold__tns__corner:min_ss_100C_1v60,0
timing__setup__tns__corner:min_ss_100C_1v60,0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.494483
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,0.38614
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.33178244424265524
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.31562695017618686
timing__hold__ws__corner:min_ff_n40C_1v95,0.14207163625451152
timing__setup__ws__corner:min_ff_n40C_1v95,2.6490252963213092
timing__hold__tns__corner:min_ff_n40C_1v95,0
timing__setup__tns__corner:min_ff_n40C_1v95,0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.142072
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,3.352508
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,61
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.44318389101872846
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.4223761460138718
timing__hold__ws__corner:max_tt_025C_1v80,0.23808977685515775
timing__setup__ws__corner:max_tt_025C_1v80,1.9923456781625453
timing__hold__tns__corner:max_tt_025C_1v80,0
timing__setup__tns__corner:max_tt_025C_1v80,0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.23809
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,2.354226
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.3330408820766589
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.32801215449997273
timing__hold__ws__corner:max_ff_n40C_1v95,0.13794332733183756
timing__setup__ws__corner:max_ff_n40C_1v95,2.575031816217228
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.137943
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,3.246659
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,61
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,61
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:max_ss_100C_1v60,1.79847
design_powergrid__drop__average__net:VPWR__corner:max_ss_100C_1v60,1.79968
design_powergrid__drop__worst__net:VPWR__corner:max_ss_100C_1v60,0.00153177
design_powergrid__voltage__worst__net:VGND__corner:max_ss_100C_1v60,0.00169774
design_powergrid__drop__average__net:VGND__corner:max_ss_100C_1v60,0.000321649
design_powergrid__drop__worst__net:VGND__corner:max_ss_100C_1v60,0.00169774
design_powergrid__voltage__worst,0.00169774
design_powergrid__voltage__worst__net:VPWR,1.79847
design_powergrid__drop__worst,0.00169774
design_powergrid__drop__worst__net:VPWR,0.00153177
design_powergrid__voltage__worst__net:VGND,0.00169774
design_powergrid__drop__worst__net:VGND,0.00169774
ir__voltage__worst,1.8
ir__drop__avg,0.000322
ir__drop__worst,0.00153
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
